building_id,site,country,usage,sqm,has_chilledwater,coverage,median_kw,p99_over_median,corr_temp,pass_chw,pass_cov,pass_load,pass_corr,passes_rule,heating_dominated
Panther_education_Rosalie,Panther,USA,Education,690.5,False,0.7421541742839732,65.4126,1.4250771258136812,0.3462883497394242,True,False,True,True,False,False
Panther_education_Misty,Panther,USA,Education,252.7,False,0.7525137111517367,37.2072,1.2692892773441684,0.6762947945104859,True,False,False,True,False,False
Panther_education_Mattie,Panther,USA,Education,499.4,False,0.742078001218769,5.041,3.3571315215235074,0.7071776721716808,True,False,False,True,False,False
Panther_education_Diann,Panther,USA,Education,2200.4,False,0.7417733089579525,100.9195,1.7472738172503828,0.21101061959333306,True,False,True,True,False,False
Panther_education_Gina,Panther,USA,Education,10833.1,False,0.7438299817184644,442.8855,1.2287080972395803,0.585879395258277,True,False,True,True,False,False
Panther_education_Tina,Panther,USA,Education,743.2,False,0.7435252894576477,6.3012,2.9746080111724695,0.7325084354440935,True,False,False,True,False,False
Panther_lodging_Russell,Panther,USA,Lodging/residential,2594.4,False,0.7420018281535649,33.6065,2.098570217071104,-0.5543058984640726,True,False,False,False,False,False
Panther_education_Vincent,Panther,USA,Education,11248.1,True,0.7417733089579525,153.2296,1.5565465158167866,0.3144355407362105,False,False,True,True,False,False
Panther_education_Shelton,Panther,USA,Education,5649.3,False,0.7418494820231566,121.3234,1.5441052591668216,-0.5266938897573838,True,False,True,False,False,False
Panther_office_Karla,Panther,USA,Office,2508.4,True,0.7419256550883607,39.7277,1.9867346964460584,-0.12954573608766237,False,False,False,False,False,False
Panther_assembly_Denice,Panther,USA,Entertainment/public assembly,34445.9,False,0.7419256550883607,453.0874,1.59423418528081,0.2892027378667883,True,False,True,True,False,False
Panther_education_Sophia,Panther,USA,Education,4559.0,False,0.7476386349786716,140.02700000000002,1.1342855306476607,0.3585960510759896,True,False,True,True,False,False
Panther_lodging_Willa,Panther,USA,Lodging/residential,3446.7,False,0.7493144424131627,71.4138,1.5056011583195406,-0.5320697670703713,True,False,True,False,False,False
Panther_education_Annetta,Panther,USA,Education,9232.7,True,0.7420018281535649,104.7202,1.6189111556318647,0.11831066625164367,False,False,True,True,False,False
Panther_education_Aurora,Panther,USA,Education,8012.9,True,0.742078001218769,132.4256,1.4380656006089456,0.29199711688507984,False,False,True,True,False,False
Panther_office_Graham,Panther,USA,Office,7799.9,True,0.7417733089579525,77.3149,1.615782986203177,0.4293736298119031,False,False,True,True,False,False
Panther_education_Karri,Panther,USA,Education,5076.6,False,0.7473339427178549,366.3107,1.7129750782600672,0.060065966671060886,True,False,True,True,False,False
Panther_office_Valarie,Panther,USA,Office,1416.8,False,0.7418494820231566,33.9265,1.7547197618380914,-0.6001183152793542,True,False,False,False,False,False
